Дата,Кол-во комнат,Адрес,Год постройки,Этаж,Площадь (кв.м),Цена,Unnamed: 7
14.04,1-комнатная квартира,"Московский районул. Мечникова, д. 79 Информация о доме",1981.0,"6 / 9 эт., кирпич","30,2 / 18,2 / 5,3малогабар.",3 850 000 руб.127 483 руб./м²от 45 713 руб./мес.,
14.04,2-комнатная квартира,"Советский район ЖК КМ Residence Primeул. Барминская, д. 1А Информация о доме",2023.0,"12 / 17 эт., поризованный керамический блок","66,6 / 42,8 / 20",26 800 000 руб.402 402 руб./м²от 318 207 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Нижегородский район Печёрская долинаул. Родионова, д. 193 к4 Информация о доме",2011.0,"6 / 6 эт., кирпич","59 / 32,3 / 11",14 000 000 руб.237 288 руб./м²от 166 227 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский район микрорайон Северныйпросп. Бусыгина, д. 45А Информация о доме",1988.0,"9 / 9 эт., панель","44,9 / 27 / 6,8",7 500 000 руб.167 038 руб./м²от 89 050 руб./мес.,
14.04,3-комнатная квартира,"Канавинский район 4-й микрорайон Мещерское озероул. Сергея Акимова, д. 40 Информация о доме",1981.0,"3 / 9 эт., панель","70,5 / 39,9 / 8,9",8 349 000 руб.118 426 руб./м²от 99 131 руб./мес.,
14.04,1-комнатная квартира,"Автозаводский район микрорайон Водный мирул. Янки Купалы, д. 26 Информация о доме",2010.0,"3 / 10 эт., панель","31,3 / 16,5 / 7",6 000 000 руб.191 693 руб./м²от 71 240 руб./мес.,
14.04,3-комнатная квартира,"Приокский районул. 40 лет Победы, д. 6 Информация о доме",1985.0,"7 / 9 эт., панель","73,6 / 40,2 / 9",7 100 000 руб.96 467 руб./м²от 84 301 руб./мес.,
14.04,2-комнатная квартира,"Московский районул. Павла Орлова, д. 2 Информация о доме",1970.0,"1 / 6 эт., кирпич","48 / 29,1 / 6хрущ.",5 990 000 руб.124 792 руб./м²от 71 122 руб./мес.,
14.04,Квартира-студия,"Московский район ЖК Бурнаковскийул. Бурнаковская, д. 53 Информация о доме",2013.0,"1 / 10 эт., панель","17,6 / 12 / 1",3 900 000 руб.221 591 руб./м²от 46 306 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Юлиуса Фучика, д. 29 Информация о доме",1968.0,"1 / 5 эт., панель","44,8 / 27,5 / 5,5брежн.",4 200 000 руб.93 750 руб./м²от 49 868 руб./мес.,
14.04,2-комнатная квартира,"Советский район ЖК Зенитул. Героя Советского Союза Аристархова, д. 5 Информация о доме",2024.0,"14 / 15 эт., блок+утеплитель","59,9 / 26,6 / 20,4",11 480 000 руб.191 653 руб./м²от 136 306 руб./мес.,
,,,,,,,
14.04,2-комнатная квартира,"Советский районул. Белинского, д. 11/66 Информация о доме",2009.0,"11 / 13 эт., кирпич","68,7 / 29 / 28,5",19 700 000 руб.286 754 руб./м²от 233 906 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Героя Юрия Смирнова, д. 61 Информация о доме",1968.0,"1 / 5 эт., панель","43,3 / 28,6 / 5,5брежн.",5 600 000 руб.129 330 руб./м²от 66 491 руб./мес.,
