livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price,log_price
2,Автозаводский,1958.0,2,5,кирпич,56.5,32.3,8.7,8500000,15.955576721460545
1,Канавинский,1957.0,1,2,шлакоблок,31.2,20.8,4.9,2700000,14.808762330974558
3,Автозаводский,1974.0,3,9,панель,63.7,43.0,6.0,8300000,15.931766072766827
2,Автозаводский,1990.0,9,10,панель,49.7,29.2,8.9,6700000,15.717618084361195
2,Автозаводский,1951.0,1,3,шлакоблок,42.3,26.0,6.0,3870000,15.168765065005964
2,Автозаводский,1933.0,3,4,кирпич,42.6,30.0,6.0,5000000,15.424948470398375
2,Автозаводский,1989.0,6,10,панель,51.8,30.0,9.0,6700000,15.717618084361195
1,Автозаводский,2026.0,3,8,блок+утеплитель,44.4,21.1,12.7,9849696,16.10295114972784
3,Автозаводский,1970.0,2,5,кирпич,61.0,44.0,5.0,7000000,15.761420707019587
4,Автозаводский,1973.0,5,5,панель,60.0,35.0,6.0,6000000,15.60727002719233
3,Ленинский,1969.0,1,5,панель,56.8,42.3,5.8,5500000,15.520258650202699
2,Автозаводский,1987.0,3,9,панель,42.3,28.0,7.0,5500000,15.520258650202699
2,Советский,2010.0,7,8,блок+утеплитель,70.3,37.3,14.7,16990000,16.648135493648116
2,Советский,1961.0,2,4,кирпич,43.2,29.0,6.0,5550000,15.529308485722618
2,Автозаводский,1972.0,4,5,панель,50.0,30.0,5.5,4800000,15.38412647587812
2,Автозаводский,1959.0,2,2,шлакоблок,37.2,26.1,4.6,3100000,14.946912669455374
3,Советский,1956.0,2,4,кирпич,100.6,60.0,15.0,13000000,16.38045991542581
2,Ленинский,1968.0,2,5,кирпич,23.3,12.0,2.0,3599000,15.096166587061168
3,Сормовский,1952.0,4,4,кирпич,64.4,42.1,8.0,6850000,15.739759210238407
2,Сормовский,1967.0,2,5,панель,45.3,32.6,5.4,4100000,15.226497531674536
1,Канавинский,1992.0,1,9,панель,28.7,11.7,6.9,6000000,15.60727002719233
1,Ленинский,1962.0,1,3,кирпич,31.0,21.0,5.0,2890000,14.876767060088614
2,Автозаводский,1973.0,6,9,панель,42.0,27.0,6.0,4800000,15.38412647587812
2,Автозаводский,1959.0,2,2,шлакоблок,37.0,26.0,5.0,3650000,15.110237725558674
3,Ленинский,1968.0,4,5,панель,55.0,37.0,6.0,6300000,15.65606019136176
2,Канавинский,2010.0,10,17,блок+утеплитель,67.2,35.0,12.0,14900000,16.51687177091569
2,Автозаводский,1970.0,3,5,панель,50.0,34.5,6.0,5700000,15.555976732804778
1,Автозаводский,1974.0,1,9,панель,33.0,18.0,6.0,4200000,15.250595083253597
1,Ленинский,1990.0,2,3,кирпич,34.0,16.7,8.7,3500000,15.068273526459642
3,Ленинский,1980.0,1,9,панель,58.0,40.0,7.0,6100000,15.623799329143539
3,Советский,1959.0,1,3,кирпич,65.0,47.0,7.0,8000000,15.89495209964411
2,Автозаводский,1959.0,2,2,шлакоблок,37.2,27.2,5.0,3800000,15.150511624696614
3,Автозаводский,1968.0,4,5,панель,59.8,46.5,5.5,7000000,15.761420707019587
3,Канавинский,1971.0,4,5,кирпич,63.0,46.5,6.0,6000000,15.60727002719233
1,Нижегородский,2015.0,10,14,кирпич,45.5,16.2,12.3,10999999,16.21340573985355
1,Московский,2014.0,12,12,кирпич,35.0,16.0,10.0,7690000,15.855431341481827
2,Нижегородский,2023.0,9,23,блок+утеплитель,49.8,22.0,17.4,12500000,16.34123920227253
1,Советский,2019.0,12,14,блок+утеплитель,43.5,14.9,16.2,8999999,16.012735024189375
2,Канавинский,2024.0,4,9,панель,52.0,29.2,10.65,7900000,15.88237331743725
3,Сормовский,1987.0,6,9,панель,57.7,39.0,9.0,6400000,15.671808548329901
2,Канавинский,1983.0,5,9,кирпич,34.3,28.7,5.0,4700000,15.363073066680286
2,Сормовский,1979.0,5,9,панель,52.0,32.0,7.5,5000000,15.424948470398375
1,Автозаводский,2012.0,3,3,блок+утеплитель,33.7,15.0,8.5,4450000,15.308414654142423
3,Канавинский,1984.0,1,9,панель,53.0,36.6,7.0,8500000,15.955576721460545
1,Канавинский,1958.0,1,3,кирпич,30.0,17.0,6.0,3300000,15.009433026436708
2,Канавинский,1980.0,6,9,кирпич,41.6,27.0,5.7,6000000,15.60727002719233
2,Сормовский,1979.0,5,9,панель,52.0,32.0,7.5,5000000,15.424948470398375
2,Канавинский,1980.0,6,9,кирпич,41.6,27.0,5.7,6000000,15.60727002719233
2,Ленинский,1981.0,4,9,панель,50.0,29.0,8.8,6800000,15.732433170146335
2,Советский,1982.0,5,5,кирпич,43.0,28.0,6.0,5700000,15.555976732804778
4,Московский,1970.0,5,5,панель,58.6,41.9,7.0,5600000,15.538277155705378
1,Автозаводский,1990.0,7,9,панель,32.5,17.1,7.6,4100000,15.226497531674536
3,Нижегородский,2022.28591954023,16,22,блок+утеплитель,79.1,29.2,37.0,24000000,16.99356438831222
